DateTime,Entries,UniqueIPs
1493583711,24471,24471
1493587315,24472,24472
1493590908,24471,24471
1493594509,24462,24462
1493598113,24470,24470
1493601710,24458,24458
1493605302,24407,24407
1493608902,24386,24386
1493612511,24377,24377
1493616104,24370,24370
1493619701,24355,24355
1493623297,24350,24350
1493626898,24292,24292
1493630497,24232,24232
1493634090,24199,24199
1493637691,24162,24162
1493641291,24139,24139
1493644926,24116,24116
1493648479,24106,24106
1493652199,24066,24066
1493655687,24030,24030
1493659280,23973,23973
1493662882,23927,23927
1493666503,23913,23913
1493670132,23890,23890
1493673679,23883,23883
1493677278,23883,23883
1493680889,23884,23884
1493684498,23883,23883
1493688082,23872,23872
1493691672,23851,23851
1493695283,23845,23845
1493698899,23848,23848
1493702485,23834,23834
1493706075,23817,23817
1493709674,23809,23809
1493713288,23772,23772
1493716883,23771,23771
1493720472,23793,23793
1493724116,23756,23756
1493727666,23725,23725
1493731268,23693,23693
1493734867,23689,23689
1493738497,23673,23673
1493742080,23675,23675
1493745667,23663,23663
1493749267,23673,23673
1493752884,23646,23646
1493756488,23661,23661
1493760073,23685,23685
1493763670,23678,23678
1493767277,23678,23678
1493770894,23666,23666
1493774479,23698,23698
1493778066,23695,23695
1493781674,23727,23727
1493785289,23712,23712
1493788883,23779,23779
1493792473,23776,23776
1493796073,23768,23768
1493799685,23753,23753
1493803286,23741,23741
1493806873,23720,23720
1493810477,23687,23687
1493814080,23654,23654
1493817714,23655,23655
1493821266,23654,23654
1493824867,23630,23630
1493828466,23632,23632
1493832096,23620,23620
1493835676,23616,23616
1493839266,23614,23614
1493842865,23606,23606
1493846483,23585,23585
1493850086,23576,23576
1493853664,23537,23537
1493857259,23481,23481
1493860863,23438,23438
1493864479,23427,23427
1493868061,23384,23384
1493871656,23390,23390
1493875253,23373,23373
1493878875,23414,23414
1493882471,23484,23484
1493886066,23566,23566
1493889673,23673,23673
1493893288,23777,23777
1493896899,23867,23867
1493900490,23978,23978
1493904095,24082,24082
1493907703,24167,24167
1493911324,24273,24273
1493914914,24360,24360
1493918516,24444,24444
1493922119,24460,24460
1493925723,24435,24435
1493929320,24405,24405
1493936508,24337,24337
1493940117,24338,24338
1493943715,24313,24313
1493947317,24294,24294
1493950918,24307,24307
1493954529,24327,24327
1493958122,24339,24339
1493961708,24324,24324
1493965302,24323,24323
1493968905,24313,24313
1493972512,24309,24309
1493976107,24316,24316
1493979706,24327,24327
1493983307,24333,24333
1493986911,24300,24300
1493990513,24308,24308
1493994110,24332,24332
1493997710,24325,24325
1494001309,24297,24297
1494004915,24300,24300
1494008512,24319,24319
1494012113,24339,24339
1494015721,24327,24327
1494019317,24340,24340
1494022912,24284,24284
1494026505,24261,24261
1494030105,24276,24276
1494033713,24284,24284
1494037312,24304,24304
1494040910,24297,24297
1494044511,24301,24301
1494048120,24326,24326
1494051718,24336,24336
1494055317,24339,24339
1494058921,24328,24328
1494062507,24350,24350
1494066116,24428,24428
1494069722,24476,24476
1494073322,24553,24553
1494076923,24581,24581
1494080528,24613,24613
1494084132,24661,24661
1494087729,24703,24703
1494091333,24715,24715
1494094927,24717,24717
1494098535,24701,24701
1494102137,24675,24675
1494105728,24626,24626
1494109326,24595,24595
1494112922,24519,24519
1494116524,24492,24492
1494120124,24446,24446
1494123723,24416,24416
1494127319,24394,24394
1494130921,24361,24361
1494134510,24342,24342
1494138106,24322,24322
1494141712,24314,24314
1494145306,24343,24343
1494148911,24325,24325
1494152503,24300,24300
1494156103,24314,24314
1494159706,24320,24320
1494163306,24307,24307
1494166910,24305,24305
1494170505,24287,24287
1494174108,24306,24306
1494177713,24368,24368
1494181313,24407,24407
1494184918,24430,24430
1494188516,24471,24471
1494192112,24478,24478
1494195716,24497,24497
1494199318,24461,24461
1494202921,24457,24457
1494206518,24427,24427
1494210121,24448,24448
1494213716,24450,24450
1494217316,24434,24434
1494220917,24426,24426
1494224515,24427,24427
1494228118,24411,24411
1494231713,24408,24408
1494235317,24391,24391
1494238922,24507,24507
1494242533,24640,24640
1494246137,24685,24685
1494249735,24712,24712
1494253338,24724,24724
1494256933,24696,24696
1494260531,24687,24687
1494264133,24693,24693
1494267734,24668,24668
1494271331,24664,24664
1494274930,24632,24632
1494278531,24608,24608
1494282127,24612,24612
1494285730,24603,24603
1494289332,24605,24605
1494292929,24605,24605
1494296531,24594,24594
1494300127,24578,24578
1494303726,24559,24559
1494307326,24570,24570
1494310923,24562,24562
1494314523,24549,24549
1494318123,24531,24531
1494321721,24527,24527
1494325319,24487,24487
1494328921,24492,24492
1494332524,24538,24538
1494336127,24578,24578
1494339728,24581,24581
1494343328,24547,24547
1494346926,24526,24526
1494350524,24495,24495
1494354129,24485,24485
1494357724,24478,24478
1494361320,24466,24466
1494364921,24445,24445
1494368518,24428,24428
1494372114,24418,24418
1494375713,24392,24392
1494379314,24369,24369
1494382913,24353,24353
1494386521,24300,24300
1494390109,24299,24299
1494393704,24218,24218
1494397304,24189,24189
1494400906,24179,24179
1494404500,24166,24166
1494408100,24146,24146
1494411699,24125,24125
1494415304,24259,24259
1494418917,24427,24427
1494422525,24602,24602
1494426136,24742,24742
1494429741,24841,24841
1494433347,24977,24977
1494436958,25115,25115
1494440566,25264,25264
1494444175,25399,25399
1494447774,25429,25429
1494451375,25450,25450
1494454974,25447,25447
1494458584,25481,25481
1494462180,25501,25501
1494465778,25506,25506
1494469376,25492,25492
1494472975,25461,25461
1494476573,25435,25435
1494480166,25409,25409
1494483770,25395,25395
1494487372,25364,25364
1494490969,25341,25341
1494494572,25306,25306
1494498168,25264,25264
1494501768,25236,25236
1494505373,25200,25200
1494508964,25191,25191
1494512568,25174,25174
1494516169,25163,25163
1494519776,25176,25176
1494523362,25208,25208
1494526960,25225,25225
1494530563,25248,25248
1494534159,25250,25250
1494537765,25257,25257
1494541366,25295,25295
1494544960,25272,25272
1494548564,25291,25291
1494552161,25293,25293
1494555763,25304,25304
1494559368,25305,25305
1494562971,25303,25303
1494566571,25297,25297
1494570166,25296,25296
1494573764,25264,25264
1494577364,25260,25260
1494580963,25232,25232
1494584562,25229,25229
1494588166,25237,25237
1494591770,25274,25274
1494595367,25346,25346
1494598970,25377,25377
1494602573,25387,25387
1494606173,25406,25406
1494609772,25407,25407
1494613371,25383,25383
1494616972,25359,25359
1494620583,25343,25343
1494624170,25344,25344
1494627769,25365,25365
1494631372,25393,25393
1494634972,25417,25417
1494638571,25427,25427
1494642176,25434,25434
1494645776,25467,25467
1494649380,25493,25493
1494652983,25513,25513
1494656577,25515,25515
1494660180,25545,25545
1494663777,25569,25569
1494667379,25548,25548
1494670974,25472,25472
1494674570,25475,25475
1494678174,25442,25442
1494681774,25434,25434
1494685375,25535,25535
1494688981,25612,25612
1494692584,25672,25672
1494696185,25688,25688
1494699785,25728,25728
1494703386,25752,25752
1494706993,25800,25800
1494710589,25842,25842
1494714196,25889,25889
1494717795,25886,25886
1494721393,25897,25897
1494724998,25936,25936
1494728595,25958,25958
1494732202,25955,25955
1494735796,25978,25978
1494739397,25979,25979
1494743004,26021,26021
1494746604,26029,26029
1494750207,26055,26055
1494753802,26065,26065
1494757404,26091,26091
1494761002,26080,26080
1494764604,26085,26085
1494768202,26092,26092
1494771809,26107,26107
1494775406,26119,26119
1494779015,26110,26110
1494782611,26048,26048
1494786212,26018,26018
1494789805,25986,25986
1494793409,25927,25927
1494797003,25897,25897
1494800598,25885,25885
1494804208,25884,25884
1494807803,25859,25859
1494811406,25904,25904
1494815007,25931,25931
1494818604,25930,25930
1494822201,25946,25946
1494825804,25953,25953
1494829405,25952,25952
1494833003,25936,25936
1494836607,25949,25949
1494840204,25964,25964
1494843812,25922,25922
1494847410,25863,25863
1494851014,25866,25866
1494854601,25837,25837
1494858210,25824,25824
1494861799,25856,25856
1494865403,25858,25858
1494869000,25875,25875
1494872598,25848,25848
1494876200,25856,25856
1494879797,25866,25866
1494883402,25865,25865
1494887003,25876,25876
1494890599,25863,25863
1494894197,25880,25880
1494897799,25886,25886
1494901401,25902,25902
1494904999,25919,25919
1494908599,25896,25896
1494912198,25890,25890
1494915793,25883,25883
1494919396,25928,25928
1494922994,25941,25941
1494926606,25980,25980
1494930201,26003,26003
1494933818,26048,26048
1494937406,26040,26040
1494941004,26058,26058
1494944610,26032,26032
1494948207,26075,26075
1494951813,26105,26105
1494955413,26127,26127
1494959169,26151,26151
1494962629,26165,26165
1494966226,26193,26193
1494969837,26216,26216
1494973418,26231,26231
1494977023,26251,26251
1494980618,26254,26254
1494984218,26257,26257
1494987817,26251,26251
1494991416,26266,26266
1494995022,26296,26296
1494998619,26306,26306
1495002219,26318,26318
1495005816,26329,26329
1495009419,26332,26332
1495013019,26346,26346
1495016622,26347,26347
1495020216,26242,26242
1495023815,26139,26139
1495027407,26015,26015
1495031004,25932,25932
1495034596,25819,25819
1495038186,25667,25667
1495041780,25492,25492
1495045368,25252,25252
1495048956,25016,25016
1495052553,24915,24915
1495056152,24902,24902
1495059750,24891,24891
1495063353,24856,24856
1495066952,24853,24853
1495070546,24842,24842
1495074149,24847,24847
1495077740,24851,24851
1495081341,24854,24854
1495084943,24887,24887
1495088548,24906,24906
1495092149,24922,24922
1495095744,24914,24914
1495099349,24922,24922
1495102948,24933,24933
1495106553,24931,24931
1495110155,24930,24930
1495113746,24906,24906
1495117350,24927,24927
1495120951,24923,24923
1495124556,24917,24917
1495128161,24928,24928
1495131755,24917,24917
1495135353,24927,24927
1495138957,24916,24916
1495142558,24934,24934
1495146149,24942,24942
1495149754,24981,24981
1495153352,24992,24992
1495156951,25012,25012
1495160554,25024,25024
1495164152,25030,25030
1495167753,25051,25051
1495171354,25078,25078
1495174954,25087,25087
1495178557,25114,25114
1495182157,25124,25124
1495185757,25138,25138
1495189358,25151,25151
1495192960,25146,25146
1495196562,25196,25196
1495200163,25250,25250
1495203774,25322,25322
1495207380,25411,25411
1495210988,25453,25453
1495214588,25508,25508
1495218174,25568,25568
1495221803,25650,25650
1495225407,25771,25771
1495229012,25842,25842
1495232614,25937,25937
1495236223,26029,26029
1495239826,26124,26124
1495243426,26228,26228
1495247023,26280,26280
1495250627,26341,26341
1495254227,26354,26354
1495257827,26393,26393
1495261424,26422,26422
1495265026,26428,26428
1495268634,26475,26475
1495272231,26517,26517
1495275831,26491,26491
1495279433,26479,26479
1495283029,26453,26453
1495286627,26434,26434
1495290222,26373,26373
1495293820,26296,26296
1495297417,26232,26232
1495301015,26213,26213
1495304616,26176,26176
1495308211,26131,26131
1495311808,26081,26081
1495315408,26054,26054
1495319005,26006,26006
1495322604,25994,25994
1495326205,25982,25982
1495329801,25948,25948
1495333404,25949,25949
1495337003,25922,25922
1495340600,25939,25939
1495344205,25934,25934
1495347804,25891,25891
1495351396,25869,25869
1495354995,25855,25855
1495358602,25843,25843
1495362196,25821,25821
1495365799,25802,25802
1495369392,25783,25783
1495372988,25754,25754
1495376593,25742,25742
1495380198,25718,25718
1495383792,25700,25700
